lstm_weight,vgg16_weight,accuracy
0.0,1.0,0.04888888888888889
0.01,0.99,0.44962962962962966
0.02,0.98,0.5303703703703704
0.03,0.97,0.5481481481481482
0.04,0.96,0.56
0.05,0.95,0.5659259259259259
0.06,0.94,0.5733333333333334
0.07,0.9299999999999999,0.5814814814814815
0.08,0.92,0.5881481481481482
0.09,0.91,0.5940740740740741
0.1,0.9,0.597037037037037
0.11,0.89,0.6007407407407407
0.12,0.88,0.605925925925926
0.13,0.87,0.6096296296296296
0.14,0.86,0.6133333333333333
0.15,0.85,0.6185185185185185
0.16,0.84,0.6229629629629629
0.17,0.83,0.6303703703703704
0.18,0.8200000000000001,0.6355555555555555
0.19,0.81,0.6385185185185185
0.2,0.8,0.64
0.21,0.79,0.6451851851851852
0.22,0.78,0.6474074074074074
0.23,0.77,0.6555555555555556
0.24,0.76,0.66
0.25,0.75,0.66
0.26,0.74,0.6637037037037037
0.27,0.73,0.6659259259259259
0.28,0.72,0.6696296296296296
0.29,0.71,0.6711111111111111
0.3,0.7,0.674074074074074
0.31,0.69,0.6807407407407408
0.32,0.6799999999999999,0.6851851851851852
0.33,0.6699999999999999,0.6918518518518518
0.34,0.6599999999999999,0.7007407407407408
0.35000000000000003,0.6499999999999999,0.7044444444444444
0.36,0.64,0.7133333333333334
0.37,0.63,0.7177777777777777
0.38,0.62,0.7207407407407408
0.39,0.61,0.7288888888888889
0.4,0.6,0.7362962962962963
0.41000000000000003,0.59,0.7392592592592593
0.42,0.5800000000000001,0.7451851851851852
0.43,0.5700000000000001,0.7562962962962962
0.44,0.56,0.7585185185185185
0.45,0.55,0.7659259259259259
0.46,0.54,0.7718518518518519
0.47000000000000003,0.53,0.7748148148148148
0.48,0.52,0.7814814814814814
0.49,0.51,0.7866666666666666
0.5,0.5,0.7992592592592592
0.51,0.49,0.82
0.52,0.48,0.8333333333333334
0.53,0.47,0.8392592592592593
0.54,0.45999999999999996,0.845925925925926
0.55,0.44999999999999996,0.8496296296296296
0.56,0.43999999999999995,0.8503703703703703
0.5700000000000001,0.42999999999999994,0.8511111111111112
0.58,0.42000000000000004,0.8533333333333334
0.59,0.41000000000000003,0.8548148148148148
0.6,0.4,0.857037037037037
0.61,0.39,0.8585185185185186
0.62,0.38,0.86
0.63,0.37,0.8607407407407407
0.64,0.36,0.8607407407407407
0.65,0.35,0.8614814814814815
0.66,0.33999999999999997,0.8622222222222222
0.67,0.32999999999999996,0.8622222222222222
0.68,0.31999999999999995,0.8622222222222222
0.6900000000000001,0.30999999999999994,0.8622222222222222
0.7000000000000001,0.29999999999999993,0.8637037037037038
0.71,0.29000000000000004,0.8644444444444445
0.72,0.28,0.8651851851851852
0.73,0.27,0.8651851851851852
0.74,0.26,0.8651851851851852
0.75,0.25,0.8659259259259259
0.76,0.24,0.8659259259259259
0.77,0.22999999999999998,0.8659259259259259
0.78,0.21999999999999997,0.8651851851851852
0.79,0.20999999999999996,0.8651851851851852
0.8,0.19999999999999996,0.8644444444444445
0.81,0.18999999999999995,0.8644444444444445
0.8200000000000001,0.17999999999999994,0.8644444444444445
0.8300000000000001,0.16999999999999993,0.8651851851851852
0.84,0.16000000000000003,0.8659259259259259
0.85,0.15000000000000002,0.8659259259259259
0.86,0.14,0.8659259259259259
0.87,0.13,0.8651851851851852
0.88,0.12,0.8651851851851852
0.89,0.10999999999999999,0.8651851851851852
0.9,0.09999999999999998,0.8651851851851852
0.91,0.08999999999999997,0.8651851851851852
0.92,0.07999999999999996,0.8644444444444445
0.93,0.06999999999999995,0.8644444444444445
0.9400000000000001,0.05999999999999994,0.8644444444444445
0.9500000000000001,0.04999999999999993,0.8644444444444445
0.96,0.040000000000000036,0.8644444444444445
0.97,0.030000000000000027,0.8644444444444445
0.98,0.020000000000000018,0.8644444444444445
0.99,0.010000000000000009,0.8644444444444445
1.0,0.0,0.8644444444444445
